Team,Matches,Shots,Goals For (GF),Expected Goals (xG),Goals Against (GA),Expected Goals Against (xGA),xG Difference (xGD)
Argentina,7,110,23,20.99,12,11.29,9.7
France,7,106,18,14.96,12,12.58,2.38
Brazil,5,99,10,13.64,7,4.95,8.69
Croatia,7,87,15,13.17,10,15.04,-1.87
Netherlands,5,48,13,8.91,8,10.0,-1.09
England,5,63,13,8.74,4,3.99,4.75
Morocco,7,66,9,8.68,4,9.03,-0.35
Germany,3,68,6,8.23,4,2.92,5.31
Japan,4,48,6,7.38,7,7.81,-0.43
Portugal,5,66,12,7.31,6,5.64,1.67
Spain,4,51,9,7.1,6,6.01,1.09
Switzerland,4,37,5,6.09,9,5.01,1.08
Poland,4,31,3,4.66,5,6.7,-2.04
Senegal,4,50,5,4.27,7,4.11,0.16
United States,4,46,3,3.94,4,4.26,-0.32
Canada,3,35,1,3.93,7,3.71,0.22
Iran,3,33,4,3.83,7,3.77,0.06
Ecuador,3,30,4,3.81,3,2.12,1.69
Belgium,3,35,1,3.69,2,4.23,-0.54
South Korea,4,48,5,3.6,8,5.83,-2.23
Ghana,3,25,5,3.35,7,5.1,-1.75
Uruguay,3,33,2,3.27,2,3.1,0.17
Saudi Arabia,3,30,3,3.2,5,6.55,-3.35
Denmark,3,35,1,3.19,3,3.46,-0.27
Serbia,3,32,5,3.09,8,7.3,-4.21
Cameroon,3,28,4,3.07,4,5.54,-2.47
Mexico,3,41,2,3.06,3,2.54,0.52
Tunisia,3,32,1,2.41,1,2.4,0.01
Wales,3,24,1,2.22,6,4.97,-2.75
Australia,4,26,3,1.58,6,6.44,-4.86
Qatar,3,20,1,1.41,7,3.77,-2.36
Costa Rica,3,11,2,1.23,11,7.85,-6.62
